Month,Year,AphidCount,TrapCount
3,2017,0,13
4,2017,0,52
4,2018,1,18
5,2007,65,95
5,2008,40,100
5,2009,170,120
5,2010,12,81
5,2011,6,68
5,2012,9,105
5,2013,33,24
5,2014,179,45
5,2015,128,28
5,2016,39,85
5,2017,11,65
5,2018,170,45
5,2019,25,52
5,2020,0,31
6,2007,192,171
6,2008,168,225
6,2009,1373,270
6,2010,330,216
6,2011,59,306
6,2012,255,315
6,2013,193,48
6,2014,921,75
6,2015,262,56
6,2016,92,68
6,2017,369,52
6,2018,604,36
6,2019,18,55
6,2020,95,85
7,2007,52,19
7,2008,568,125
7,2009,472,145
7,2010,587,135
7,2011,241,272
7,2012,353,315
7,2013,390,48
7,2014,1692,45
7,2015,42,42
7,2016,58,68
7,2017,460,52
7,2018,530,45
7,2019,2,10
7,2020,48,17
8,2013,55,12
10,2016,3,26
10,2017,2,27
11,2016,0,52
11,2017,0,45
