veg.date,Year,Julian_day,SiteID,site,latitude,longitude,SiteElevation,CumulativePrecipitation,aphid.presence,hemiptera.aphididae,white.clover,black.medick,yellow.sweet.clover,hairy.vetch,silky.lupine,milkvetch.1,peavine,crimson.clover,common.vetch,large.cow.pea,pink.cow.pea,white.cow.pea,alfalfa,red.clover,subterranian.clover,wooly.pod.milkvetch,white.locoweed,lentil.vetch,clover.1,american.vetch,everlasting.vetchling,spurred.lupine,low.hop.clover
5/8/2018,2018,128,Blyton 1,Blyton,46.558787,-117.270478,366,199.36,No,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8/2018,2018,128,Blyton 2,Blyton,46.558787,-117.270478,366,199.36,Yes,5,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8/2018,2018,128,Blyton 3,Blyton,46.558787,-117.270478,366,199.36,Yes,11,0,0,3,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/27/2018,2018,178,Blyton 4,Blyton,46.558787,-117.270478,366,278.84,Yes,207,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2018,2018,172,Chief Timothy,Chief Timothy,46.412268,-117.214812,417,255.9,Yes,433,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,Dump Road 1,Dump Road,46.518304,-116.823878,830,421.75,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,Dump Road 2,Dump Road,46.517249,-116.82375,830,421.75,Yes,4,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/13/2018,2018,164,Genesee 1,Genesee,46.548778,-116.903471,823,445.12,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/2018,2018,155,Golf Course 1,Golf Course,46.74031,-117.142439,796,322.13,No,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0
4/27/2018,2018,117,Hells Gate 1,Hells Gate,46.349869,-117.048988,288,121.16,Yes,1,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/9/2018,2018,129,Hells Gate 2,Hells Gate,46.356406,-117.057066,288,140.53,No,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/2018,2018,131,Hells Gate 3,Hells Gate,46.351053,-117.044206,288,142.02,No,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/2018,2018,131,Hells Gate 4,Hells Gate,46.3513,-117.046741,288,142.02,No,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
6/27/2018,2018,178,Hells Gate 5,Hells Gate,46.349879,-117.049107,288,227.4,No,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2018,2018,136,Idler's Rest 1,Idler's Rest,46.802037,-116.958284,875,367.89,No,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2018,2018,136,Idler's Rest 2,Idler's Rest,46.798575,-116.949415,940,397.96,No,0,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/13/2018,2018,164,Idler's Rest 3,Idler's Rest,46.798575,-116.949415,940,458.4,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0
6/13/2018,2018,164,Idler's Rest 4,Idler's Rest,46.798575,-116.949415,940,458.4,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,0
5/21/2018,2018,141,Kambitsch 1,Kambitsch,46.587589,-116.946578,856,395.39,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2018,2018,136,Klemgard 1,Klemgard,46.769676,-117.359494,660,242.7,No,0,234,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2018,2018,136,Klemgard 2,Klemgard,46.770005,-117.362122,660,242.7,No,0,0,0,0,0,159,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2018,2018,136,Klemgard 3,Klemgard,46.770977,-117.361392,660,242.7,Yes,3,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0
7/11/2018,2018,192,Little Road,Little Road,46.61681,-117.235712,806,384.22,Yes,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/2018,2018,143,McCrosky 1,McCrosky,47.062775,-116.881092,1068,579.12,Yes,4,0,0,0,0,77,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/2018,2018,143,McCrosky 2,McCrosky,47.0742,-116.891783,1059,544.34,Yes,2,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/2018,2018,143,McCrosky 3,McCrosky,47.088143,-116.979932,1107,537.88,Yes,5,0,0,0,342,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/9/2018,2018,190,McCrosky 4,McCrosky,47.087589,-116.980986,1107,592.19,Yes,186,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/9/2018,2018,129,Nisqually Canyon 1,Nisqually,46.512483,-117.231967,249,192.53,No,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/9/2018,2018,129,Nisqually Canyon 2,Nisqually,46.513512,-117.230241,422,204.16,No,0,0,0,0,130,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/2018,2018,155,Palouse Conservation Farm 1,Palouse Conservation Farm,46.74010726,-117.1423716,796,322.13,Yes,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,Phillips Farm 1,Phillips Farm,46.81339,-117.018353,895,371.69,Yes,150,0,0,0,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,Phillips Farm 2,Phillips Farm,46.812604,-117.020248,895,371.69,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/2018,2018,194,Phillips Farm 3,Phillips Farm,46.81339,-117.018353,895,419.18,Yes,228,0,0,0,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2018,2018,172,Rimrock 1,Rimrock,46.541566,-117.195413,855,379.24,No,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/2018,2018,192,Rimrock 2,Rimrock,46.587374,-117.221798,834,401.43,Yes,3,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,0
6/27/2018,2018,178,Rob 1,Palouse Conservation Farm,46.74010726,-117.1423716,796,354.78,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/27/2018,2018,178,Rob 2,Palouse Conservation Farm,46.74010726,-117.1423716,796,354.78,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/6/2018,2018,187,Rob 3,Palouse Conservation Farm,46.74010726,-117.1423716,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/6/2018,2018,187,Rob 4,Palouse Conservation Farm,46.74010726,-117.1423716,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/2018,2018,193,Rob 5,Palouse Conservation Farm,46.74010726,-117.1423716,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/2018,2018,193,Rob 6,Palouse Conservation Farm,46.74010726,-117.1423716,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
